trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.0035, 'e': 0.9892149421944781}",35,0,-304.24170049328643,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 5}",0
43,False,"{'a': 0.0035, 'e': 0.9886962352765366}",20,0,-142.37067654543358,"{0: 6, 1: 6, 2: 6, 3: 1, 4: 1}",0
44,False,"{'a': 0.0035, 'e': 0.9881654168420767}",20,5,-40.03153521200801,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 0}",1
45,False,"{'a': 0.0035, 'e': 0.9876224933936179}",20,0,-69.76691058319756,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
46,False,"{'a': 0.0035, 'e': 0.9870674715819652}",25,0,-103.19056037198582,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",1
47,False,"{'a': 0.0035, 'e': 0.9865003582061291}",35,21,-29.99458202882362,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.0035, 'e': 0.9859211602132415}",30,0,-170.1485216741244,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
49,False,"{'a': 0.0035, 'e': 0.9853298846984704}",20,11,-17.747942644512925,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.0035, 'e': 0.9847265389049334}",20,0,-105.15665823967967,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
51,False,"{'a': 0.0035, 'e': 0.9841111302236092}",20,0,-175.91762798416178,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
52,False,"{'a': 0.0035, 'e': 0.9834836661932461}",25,5,-24.370260746683858,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",1
53,False,"{'a': 0.0035, 'e': 0.9828441545002709}",20,8,-48.04708914342964,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
54,False,"{'a': 0.0035, 'e': 0.9821926029786937}",25,0,-259.29148679248794,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 5}",0
55,False,"{'a': 0.0035, 'e': 0.9815290196100125}",30,15,-73.45362854580739,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.0035, 'e': 0.9808534125231153}",20,0,-119.59194415821045,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.0035, 'e': 0.9801657899941806}",20,11,-8.935537836906427,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.0035, 'e': 0.9794661604465754}",20,0,-104.63010148387615,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
59,False,"{'a': 0.0035, 'e': 0.9787545324507534}",20,0,-98.95386501807866,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
60,False,"{'a': 0.0035, 'e': 0.9780309147241483}",25,7,-74.6085674913974,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 0}",1
61,False,"{'a': 0.0035, 'e': 0.9772953161310682}",20,0,-109.43030816858314,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.0035, 'e': 0.976547745682587}",20,4,-21.090991965316345,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
